Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
A'Sharad Hett,A'Sharad Hett Unknown,Darth Krayt,Darth Krayt,Public,Bad,Ki-Adi Mundi (formerly),,Male,1.85 m,,,Brown,,,,,
Aldus Hilltop (Next Men),Aldus Hilltop Unknown,,,Public,Bad,,Danny (Sprint) (son),Male,,,,White,Widower,Human,John Byrne,John Byrne's Next Men  #1,
Alien Queen,,Alien Queen,"Alien Queen, Xenomorph Queen, Queen, The Queen Bee, The Big Bad Bitch, Bitch Queen, The Bug Queen, Mommy Bug",Alien,,,,Female,,,,,,,,Alien Resurrection Vol 1 1,
Alucard,Vlad III Dracula Unknown,Alucard,,Secret,Neutral,Hellsing,,Male,,,Red,Black,Single,,Kouta Hirano,,
Amy Madison,Amy Madison Unknown,,Amy the Rat,Public,Bad,US Military,"Catherine Madison (mother, deceased?)",Female,,,,Blond,,,Joss Whedon,,
Amy Wilding,Amy Wilding Unknown,Flux,Flux,Public,Good,The Tent City Resistance,,Female,,,Blue,Blonde,Single,,,,
Anakin Skywalker,Anakin Skywalker Unknown,Anakin Skywalker,"Darth Vader, Chosen One",Public,Bad,JediSith,"Shmi Skywalker Lars (mother, deceased))Owen Lars (step-brother, deceased)) Beru Lars (Sister-in-law, deceased)) Padmé Amidala (wife, deceased) Luke Skywalker (son, deceased) Leia Organa (daughter) Han Solo (son-in-law) Mara Jade Skywalker (daughter-in-law, deceased)",Male,6' 2,,Yellow,Bald,,,,,
Antonia Murcheson (Next Men),Antonia Murcheson Unknown,Tony Murcheson,,No Dual,Good,,,Female,,,Brown,Black,Married,Human,John Byrne,John Byrne's Next Men  #1,
Ash Williams,Ashley James Williams Unknown,Ash Williams,The Chosen OneHero From The Sky,Public,Good,His girlfriend Linda (Deceased),,Male,6' 0,,Brown,Black,Single,,"Sam Raimi,  Ivan Raimi",Army of Darkness #1,
Ava Lord,Ava Lord Unknown,,,,Bad,,,Female,,,,,Widowed,,Frank Miller,,
Axey Smartlist,Axey Smartlist Unknown,Axe Cop,Baby Mario,,,,"Bobber Smartlist (Father, deceased), Gobber Smartlist (Mother, deceased)",Male,,,,,,,,,
Baba Yaga,,Baba Yaga,,,Bad,,,Female,,,,,Single,Legendary witch of Russian folklore.,,Hellboy: Wake the Devil  #2,
Bacchus,Bacchus Unknown,,Dionysus,Public,Neutral,,,Male,,,,Bald,,,"Eddie Campbell,  Dylan Horrocks","1,001 Nights of Bacchus #1",
Barbara Kopetski,Barbara Kopetski,Barb Wire,,,,,,Female,,,,,,,Chris Warner,,
Benjamin Daimio,Benjamin Daimio Unknown,Ben Daimio,,,Good,BPRD,Yumi Daimio (Crimson Lotus) (grandmother),Male,,,,Black,,,"Mike Mignola,  John Arcudi,  Guy Davis",B.P.R.D.: The Dead  #1,
Bethany (Next Men),Bethany Unknown,Hardbody,,No Dual,Good,Next Men,,Female,,,,Blonde,Single,Meta-human,John Byrne,John Byrne's Next Men  #1,
Big Red,,Big Red,,,Neutral,BBA,,Male,,,Brown,,,,"Kaare Andrews,  Troy Nixey",Dark Horse Presents Vol 3  #26,
Black cross,Conrad Unknown,,,,,,,Male,,,,,,,,Dark Horse Presents  #1,
Blue Back,,Blue Black,"Tyrannosaurus rex,T-Rex",Tyrannosaurus rex,Neutral,,,,,,,,,Dinosaur,,,
Boris the Bear,Boris Unknown,,,Public,,,,Male,,,,Brown,,,,Dark Horse Presents #4,
Bremmer (Next Men),Bremmer Unknown,,,No Dual,Bad,,,Male,,,,Brown,Single,Human,,John Byrne's Next Men  #1,
Brian Li Sung,Brian Li Sung Unknown,Grendel,,,,,,Male,,,,,,,Matt Wagner,Grendel: Devil's Legacy  #2,
Bruce Campbell,Bruce Lorne Campbell Unknown,Bruce Campbell,"Ashley J. Williams; William Cole; Darkman; ""The Chin",Public,Neutral,,Charles Newton Campbell (father); Joanne Louise (mother); Don (brother); Michael (half-brother); Ida Gearon (wife); Christine Deveau (ex-wife); Rebecca (daughter); Andy (son); Billy Campbell (cousin),Male,6' 0,,,Black,Married,Character based upon an actual person,"Milton Freewater, Jr.,  Mark Verheiden",My Name Is Bruce #1,
Buffy Summers (Buffyverse),Buffy Anne Summers Unknown,Buffy,"Anne, The Chosen One, The Vampire Slayer, The Slayer, Buff, B, The Buffster, Belinda, Joan",Public,Good,Slayer Army ; (formerly) The Initiative ; Watchers Council,"Joyce Summers (mother, deceased) ; Hank Summers (father) ; Dawn Summers (sister) ; Celia (cousin, deceased) ; Arlene (aunt)",Female,5' 2,115  lbs (52 kg),Green,Blond,Single,"Los Angeles, California",Joss Whedon,,
C850.D,C850.D Unknown,,,No Dual,Bad,Skynet,,Female,,,Red,Brown,,Robot,"John Arcudi,  Chris Warner",The Terminator  #1,
