Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Universe,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Aaron Bunch,Aaron Bunch,,DIA Agent Aaron Bunch,No Dual,Good,DIA,,Earth-UU007,Male,,,,,Single,,"Fred Van Lente,  Max Dunbar",Unknown,
Abraham,Abraham,,,No Dual,Good,,,Earth-818793,Male,,,,Gray,,,,Unknown,
Abraham Lincoln,Abraham Lincoln,,Honest Abe; Abe Lincoln,No Dual,Neutral,,"Thomas Lincoln (father)Nancy Hanks (mother)Mary Todd (wife)Robert, Edward, Willie and Tad Lincoln (sons)",Earth-UU008,Male,"6' 4""""",,,Black,Married,,,Unknown,
Ace,Ace Barlow,Ace,,Secret,Good,Inheritors,,Earth-818793,Male,,,,,Single,,,Unknown,
Adam,Adam,,,No Dual,Neutral,,God (creator)Eve (wife),Earth-818793,Male,,,,Blonde,Married,First man created by God.,,Unknown,
Adam Van Helsing,Adam Van Helsing,,Senator Van Helsing; Bad Jack,No Dual,Good,Vampirella; Mordecai Pendragon,Conrad Van Helsing (father; deceased),Earth-818793,Male,,,,Black,Single,,,Unknown,
Adolf Hitler,Adolf Hitler,,,Public,Bad,Nazis,,Earth-818793,Male,,,Brown,Brown,Married,,,Project Superpowers Free Comic Book Day Special   #1,
Adolfas Perkunis,Adolfas Perkunis,,,No Dual,Neutral,,Pola Perkunis (wife)Jonas Perkunis (brother),Earth-UU019,Male,,,,Black,Married,,"David Avallone,  Colton Worley","Bettie Page  #1(July, 2017)",2017
Adriano Lucas,Adriano Lucas,,,No Dual,Neutral,,,Earth-818793,Male,,,,,,,,"Prophecy  #2(July, 2012)",2012
Adrienne Hara,Adrienne Hara,,,No Dual,Neutral,,Hisao Hara (husband; deceased)Kelly Hara (daughter; deceased),Earth-UU006,Female,,,,,Widowed,,,Unknown,
Agent Smith,Unknown,Agent Smith,,Secret,Bad,Gault Bank,,Earth-UU079,Female,,,,Brown,,,"Amy Chu,  Carlos Gomez","Red Sonja Vol 4  #1(January, 2017)",2017
Evila,Ahmoset,Evila,Princess Evila; Princess Ahmoset; Aida Leiva,Secret,Bad,,,Earth-818793,Female,,,,Black,,,"Pete Morisi,  Jonathan Lau","Peter Cannon: Thunderbolt  #1(September, 2012)",2012
Chief Ak,Ak,Chief Ak,,No Dual,Neutral,,,Pathfinder,Male,,,Red,No Hair,,Goblin,"Paul Allor,  Adam Moore",Pathfinder: Goblins  #5(2013),2013
Akira Ito,Akira Ito,,,No Dual,Bad,Japanese Military,,Earth-818793,Male,,,,,,,"Garth Ennis,  Aaron Campbell","The Shadow  #1(April, 2012)",2012
Alain Germande,Alain Germande,,,No Dual,Neutral,,,Pathfinder,Male,,,,Brown,,,,Unknown,
Alethia,Alethia,,,No Dual,Neutral,,Ariok (brother),Earth-818793,Female,,,Blue,Black,Single,,,Unknown,
RoboCop,Alexander Murphy,RoboCop,OCP Crime Prevention Unit 001,Public,Good,"Detroit Police Department, Omni Consumer Products",Ellen Murphy (ex-wife)James Murphy (son),Earth-UU035,Male,,,,,Single,,,"RoboCop  #1(January, 2010)",2010
Alfred,Alfred Pennyworth,,Gus; The Voice,No Dual,Neutral,Bruce Wayne,Egbert & Cuthbert (cousins),Batman '66 Universe,Male,,,,Gray,Single,,"Bob Kane,  Jerry Robinson,  William Dozier,  Robert Butler,  Lorenzo Semple Jr.",Batman '66 Meets The Green Hornet   #1,
Alice Cooper,Alice Cooper,Alice Cooper,,,Neutral,"Kachina (Chaos! Universe), Formely The Chosen (Chaos! Universe), Chastity Marks (Chaos! Universe), Lucius Black (Chaos! Universe)",,Chaos! Universe,Male,,,Black,Black,Single,,,"Alice Cooper  #1(September, 2014)",2014
Alice Fellows,Alice Fellows,,Alice Long,No Dual,Neutral,,"Hugo Blute (maternal great-great-grandfather; deceased)Victor Blute (maternal great-grandfather)Sam Blute (maternal grandfather; deceased)Jennifer Blute (maternal grandmother; deceased)Joanne Fellows (paternal grandmother)Jimmy, Michael, Nicholas, Pete & Steve Blute (great-uncles; all deceased)Renee Fox (great-aunt; deceased)Andrew Fellows (father; deceased)Jennifer Fellows (mother)Mark Fellows (brother)",Earth-UU006,Female,,,Blue,Blonde,,,"Garth Ennis,  Adriano Batista",Jennifer Blood   #1,
Dazzler,Alison Blaire,Dazzler,,Public,Neutral,formerly Ash Williams,,Earth-2149,Female,"5' 9""""",115  lbs (52 kg),White,Blonde,Single,Zombie mutant,"Tom DeFalco,  Roger Stern,  Louise Simonson,  John Romita Jr.,  Mark Millar,  Greg Land",Marvel Zombies Vs. Army of Darkness   #2,
Allan Quatermain,Allan Quatermain,,,Public,Good,,Harry Quatermain (son),Earth-818793,Male,"6'  2""""",200  lbs (91 kg),Blue,"White, (formerly Brown)",Widower,,Henry Rider Haggard,Savage Tales   #7,
Skyman,Allen Turner,Skyman,,,Good,Big Shots,,Earth-818793,Male,,,,,Single,,"Gardner Fox,  Ogden Whitney","Project Superpowers  #0(January, 2008)",2008
Ally,Ally,,,No Dual,Neutral,,,Earth-818793,Female,,,Green,Blonde,Single,,"Eric Trautmann,  Walter Geovani",Vampirella  #7(2011),2011
Alyce Stonecliff,Alyce Stonecliff,Alyce Stonecliff,,,Bad,The Council of Vampires (Chaos! Universe),,Chaos! Universe,Female,,,Blue,Blonde,Single,Vampire,Marc Andreyko,Chastity Vol 1 1,
