Name,Real Name,Current Alias,Aliases,Identity,Alignment,Affiliation,Relatives,Gender,Height,Weight,Eyes,Hair,Marital Status,Origin,Creators,First appearance,Year
Witchkiller,A.J. Ritter,Witchkiller,Corwin,Secret,Bad,,Nicholas Noyes (forefather),Male,,,Brown,Black,Single,,"Brian Michael Bendis,  Alberto Ponticelli","Sam and Twitch  #12(July, 2000)",2000
Necromancer,Abigail van Alstine,Necromancer,,Secret,Good,The Hierarchy,,Female,,,Gold,Red,Single,,"Joshua Ortega,  Francis Manapul",Necromancer #1 (2005),2005
Void,Adrianna Tereshkova,Void,,Secret,Good,WildC.A.T.s,"Svetlana Tereshkova (sister, deceased)",Female,"6' 0""",112  lbs (51 kg),"Silver, Blue (as Adrianna Tereshkova)","Bald, Black (as Adrianna Tereshkova)",Single,Bonded to Orb of Power,"Brandon Choi,  Jim Lee","WildC.A.T.s: Covert Action Teams  #1(August, 1992)",1992
Spawn,Albert Francis Simmons,Spawn,The Chosen OneHellspawnLt. Colonel Al SimmonsHell's PawnSnowmanOmega SpawnAl Simmons,Public,Good,"Eighth Circle of Hell; formerly (as Al Simmons) CIA (U.S. Security Service), U.S. Secret Service, U.S. Marine Corps","Henry Simmons (great-grandfather, deceased)Bernard Simmons (father, deceased)Esther Simmons (mother)Marc Simmons (brother)Richard Simmons (brother)Wanda Blake (wife, deceased)Morana (daughter)Cyan Fitzgerald (step-daughter)",Male,"6' 2"" (As Al Simmons)6'11"" (As Spawn)",234 lbs. (over 400 lbs. of necroplasm after rebirth),Brown,Black,Widowed,Human (Demon after rebirth),Todd McFarlane,"Spawn  #1(May, 1992)",1992
Albrecht Regenbogen,Albrecht Regenbogen,,,Secret,Bad,,,Male,,,,Grey,,,"John Layman,  Rob Guillory",Chew Vol 1 Secret Agent Poyo One-Shot,
Knightmare,Alexander James Knight,Knightmare,Alec Knight,Secret,Good,formerly Carbone crime family,"Connie Knight (wife), Jeff Knight (son, deceased)",Male,,,Blue,Blond,Married,,Rob Liefeld,"Knightmare  #1(February, 1995)",1995
Gnome,Ali Fargham,Gnome,,,Bad,,,Male,,,,,,,"Jim Lee,  Brandon Choi",WildC.A.T.s: Covert Action Teams Vol 1 1,
Ms. Popper,Alphasia,Ms. Popper,,Secret,Good,Global Defense Agency (employee) Guardians of the Globe (ally),,Female,,,,Grey,Single,Refugee from another universe,,"Brit Vol 2  #1(August, 2007)",2007
Invincible,Markus Sebastian Grayson,Invincible,,Public,Bad,The Viltrum Empires of corresponding dimension,"Nolan Grayson (father, deceased in some dimensions)  Deborah Grayson (mother, deceased in some dimensions)",Male,"5' 11""",175  lbs (80 kg),Grey,Black,Single,,"Robert Kirkman,  Ryan Ottley","Invincible  #16(August, 2004)",2004
Alysande Morales,Alysande Morales,Alysande Morales,"""Sandy"" MoralesRisqué (while in Cyber space)",Public,Good,New York City Police DepartmentCyberforce,,Female,,,Green,Blond,Single,Earth,Chris Claremont,"WildC.A.T.s: Covert Action Teams  #10(April, 1994)",1994
Taboo,Amanda Reed,Taboo,,Secret,Bad,The CabalWildcore,"Unnamed mother (deceased), Francis Reed (father, deceased)",Female,"5' 9""",130  lbs (59 kg),,Red,,,"Sean Ruffner,  Jeff Mariotte,  Brett Booth","Backlash  #1(November, 1994)",1994
Shogun,Andre Xavier Lord,Shogun,,Secret,Good,Bloodstrike,"Unnamed Wife (status unknown), Two unnamed children (status unkwown)",Male,,,Brown,No Hair,Married,Nu-Gene activated by Project: Born Again,,"Bloodstrike  #26(March, 2012)",2012
Angela,Angela,,,Secret,Bad,Heaven,,Female,,,Blue,Red,,,"Todd McFarlane,  Alan B. McElroy",Todd McFarlane's Spawn Season 1 4,
Angel Dragon,Angelica Murphy,Angel Dragon,"Angel Murphy, Battle Girl",Secret,Good,Special Operations Strikeforce,"Jennifer Murphy (mother)Savage Dragon (step-father, deceased)Malcolm Dragon (step-brother)Jackson Dragon (son/adopted step-nephew)Tyrone Dragon (step-nephew)Amy Dragon (step-niece)Maxine Dragon (step-sister-in-law)",Female,"5' 7""",135  lbs (61 kg),Blue,Blonde,Single,,Erik Larsen,Savage Dragon: Sex and Violence #1,
