Name,Real name,Aliases,Universe,Alignment,Gender,Affiliations,Relatives,Creators,First appearance,Year
Earlene,Earlene,,Valiant Entertainment,Neutral,Female,The Abettors,,Peter MilliganDiego Bernard,"Shadowman (Volume 4) #13X(October, 2013)",2013
Franklin,Franklin (last name unknown),,Valiant Entertainment,Good,Male,Abettors,,Andy DiggleShawn MartinbroughStephen Segovia,"Shadowman (Volume 5) #4(June, 2018)",2018
Henry,Henry,,Valiant Entertainment,Neutral,Male,The Abettors,,Peter MilliganDiego Bernard,"Shadowman (Volume 4) #13X(October, 2013)",2013
Aboto,Aboto,Rai VRai VII,Valiant Entertainment,Good,Male,New Japan,Sai (lover)Reiko (son),Matt KindtCafu,"Rai (Volume 3) #14(June, 2016)",2016
Achillia,Achillia,,Valiant Entertainment,Good,Female,,,Peter MilliganJuan Jose Ryp,"Britannia: We Who Are About to Die  #1 (April, 2017)",2017
Adele Poole / Black Sheep,Adele Poole,Black Sheep,Valiant Entertainment,Neutral,Female,,Jason Poole (Father),Fred Van LenteFrancis Portela,"Generation Zero  #1(August, 2016)",2016
Admiral Nelson,Admiral Horatio Nelson,,Real World,Neutral,Male,Royal Navy,,Fred Van Lente,"Ivar, Timewalker #1 (January, 2015)",2015
Admiral Xylem,Xylem (full name unknown),,Valiant Entertainment,Bad,Male,The Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #3(July, 2012",2012
Agent Cant,Unknown,,Valiant Entertainment,Neutral,Female,The Burned,Agent Nix (love interest),Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #4(December, 2019)",2019
Agent Nix,Unknown,Ben PryceJonathan BrockMichael Heel,Valiant Entertainment,Bad,Male,The BurnedMI-6 (formerly)[1][2],Agent Cant \ (love interest),Tim SeeleyBrett Booth,"Bloodshot (Volume 4) #3(November, 2019)",2019
Agent Stephens,Unknown,,Valiant Entertainment,Good,Female,M.E.R.O. / G.A.T.E.U.S. Military,,Eric HeissererRaul AllenPatricia Martin,"Secret Weapons (Volume 2) #1(June, 2017)",2017
Akhenaten,Akhenaten,EchnatonAkhenatonIkhnatonKhuenatenAmenhotep IV,Real WorldValiant Entertainment,Neutral,Male,,Nefertiti (Great Royal Wife),Fred Van LenteKhari Evans,"Archer & Armstrong (Volume 2) #14 (October, 2013)",2013
Alain,Unknown,,Valiant Entertainment,Neutral,Male,,Colin King (Son),Matt KindtClay Mann,"Ninjak (Volume 3) #1(March, 2015)",2015
Detective Cejudo,Alejandra Cejudo,,Valiant Entertainment,Good,Female,E.R.A. (formerly)Metropolitan Police Department,Miss Sixty-Nine (clone sister)The Crone (clone mother),James AsmusTom Fowler,"Quantum and Woody (Volume 2) #1 (July, 2013)",2013
Alex Huang,Alex Huang,,Valiant Entertainment,Neutral,Male,,,Jen Van MeterRoberto de la Torre,"The Death-Defying Doctor Mirage: Second Lives  #2 (January, 2016)",2016
Alexander Dorian,Alexander Dorian,,Valiant Entertainment,Neutral,Male,Orb IndustriesVine PlantingsThe Vine,,Robert VendittiCary Nord,"X-O Manowar (Volume 3) #4 (August, 2012)",2012
Alexander Solomon,Alexander Solomon,,Valiant Entertainment,Bad,Male,Harbinger Foundation (formerly),,Rafer RobertsDarick Robertson,"Harbinger Renegade  #1(November, 2016)",2016
Alice,Alice (last name unknown),Alice in Wonderland,Valiant Entertainment,Good,Female,Alice and Mister Rabbit (TV show),,Marguerite SauvageFrancis PortelaMJ Kim,"Faith's Winter Wonderland Special  #1 (December, 2017)",2017
Alice Klane,Alice Klane,HookBloodshot,Valiant Entertainment,Neutral,Female,Searchers (formerly),,Dan AbnettJuan Jose Ryp,"Rai (Volume 4) #4(February, 2020)",2020
Alpha,Unknown,,Valiant Entertainment,Good,Male,Unit Y,,Matt KindtCary Nord,"Unity (Volume 2) #0(October, 2014)",2014
Alwazan,Alwazan,Alwazan the Wise,Valiant Entertainment,Neutral,Male,Unity,,Tini HowardAmilcar Pinna,"The Forgotten Queen  #2(March, 2019)",2019
Alyssa Myles,Alyssa Myles,,Valiant Entertainment,Good,Female,The AbettorsShadowman,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #1(November, 2012)",2012
Ambrose Bierce,Ambrose Gwinnett Bierce,,Real WorldValiant Entertainment,Good,Male,Obadiah Archer,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #11 (July, 2013)",2013
Amelia Earhart,Amelia Earhart,Skymother,Real WorldValiant Entertainment,Good,Female,"ArmstrongIvar, Timewalker",,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #13 (September, 2013)",2013
Ammit,Ammit / Ammut,Devourer of the DeadEather of Hearts,Real WorldValiant Entertainment,Bad,Female,,,,"Doctor Mirage #4(November, 2019)",2019
Amy,Amy,AunsHanarHanni,Valiant Entertainment,Neutral,Female,,,Matt KindtCafu,"Rapture  #1(May, 2017)",2017
Amy Winehouse,Amy Jade Winehouse,Amy Winehouse,Real WorldValiant Entertainment,Good,Female,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
AN-ISE,AN-ISE,,Valiant Entertainment,Neutral,,Processors,FEN-L (child),Matt KindtTomas Giorello,"X-O Manowar (Volume 4) #23(January, 2019)",2019
Anchor,Farley (full name unknown),,Valiant Entertainment,Good,Male,Unity,,Matt KindtDoug Braithwaite,"Unity (Volume 2) #4(February, 2014)",2014
Andr\u00e9 the Giant,Andr\u00e9 Ren\u00e9 Roussimoff,Andr\u00e9 the Giant,Real WorldValiant Entertainment,Good,Male,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #20 (May, 2014)",2014
Andrew Finch,Andrew Finch,,Valiant Entertainment,Bad,Male,,Marcy Finch (mother)Nicole Finch (daughter),Eric Heisserer,"Secret Weapons (Volume 2) #0(January, 2018)",2018
Andromeda,Andromeda,Andy,Valiant Entertainment,Neutral,Female,,Armstrong (husband),Rafer RobertsMike Norton,"A&A: The Adventures of Archer & Armstrong #8 (October, 2016)",2016
Animalia,Monica Jim,Anime-lia,Valiant Entertainment,Good,Female,Generation Zero,,Joshua DysartKhari Evans,"Harbinger Wars  #1 (April, 2013)",2013
Ank,Unknown,Egg XXXVI,Valiant Entertainment,Good,Female,,Dinosaurs,Fred Van LentePere Perez,"Ivar, Timewalker #10(October, 2015)",2015
Anna Nicole Smith,Vickie Lynn Hogan,Anna Nicole Smith,Real WorldValiant Entertainment,Neutral,Female,Fameotorium,,Fred Van LentePere Perez,"Archer & Armstrong (Volume 2) #21 (June, 2014)",2014
Anne Alafair Ambrose,Anne Alafair Ambrose,,Valiant Entertainment,Good,Female,,,Justin JordanPatrick Zircher,"Shadowman (Volume 4) #1(November, 2012)",2012
Anni,Anni,The First Geomancer,Valiant Entertainment,Good,Female,Geomancers,Aram Anni-Padda (son)Gilad Anni-Padda (son)Ivar Anni-Padda (son)Vexana Anni-Padda (daughter),Fred Van LenteJuan Jose Ryp,"Book of Death: Legends of the Geomancer #1 (July, 2015)",2015
Anon-Lurker,Anon-Lurker,,Valiant Entertainment,Bad,Male,,,Fred Van LenteClayton Henry,"Ivar, Timewalker #2(February, 2015)",2015
Geomancer,Anqi Sheng,,Valiant Entertainment,Good,Male,Geomancers,,Fred Van LenteEmanuela Lupacchino,"Archer & Armstrong (Volume 2) #5 (December, 2012)",2012
The Anti-Beyonditor,Anti-Beyonditor,,Valiant Entertainment,Bad,Male,,,Jeff LemireJoe Bennett,"Bloodshot Reborn Annual 2016  #1 (March, 2016)",2016
Antonio Cordova,Antonio Cordova,Number Four,Valiant Entertainment,Good,Male,ArmorinesU.S. Military,,Jorge Gonzalez (original)Jim Calafiore (original)Robert Venditti (reboot)Robert Gill (reboot),"Original: Armorines  #0 (February, 1994)Reboot: X-O Manowar (Volume 3) #43 (January, 2016)",2016
The Detectioner,Antonius Axia,The Detectioner,Valiant Entertainment,Good,Male,Roman Empire,Avitus (son)Bella \ (wife),Peter MilliganJuan Jose Ryp,"Britannia  #1 (September, 2016)",2016
Anubis,Anubis,,Real WorldValiant Entertainment,Neutral,Male,,,,"Doctor Mirage #3(October, 2019)",2019
Anya Adams,Anya Adams,,Valiant Entertainment,Good,Female,,Abram Adams (Father)Eva Adams (Mother),Matt KindtTrevor Hairsine,"Divinity  #3(April, 2015)",2015
Apprehension,Ezra King,,Valiant Entertainment,Good,Female,Infinite Kingdom Corporation,,Christopher HastingsRyan Browne,"Quantum and Woody (Volume 4) #1 (February, 2020)",2020
Archduke Franz Ferdinand of Austria,Archduke Franz Ferdinand of Austria,Franz Ferdinand,Real WorldValiant Entertainment,Neutral,Male,Austro-Hungarian throne,Sophie (wife),,"Unity (Volume 2) #20(July, 2015)",2015
Aric II,Aric II,,Valiant Entertainment,Neutral,Male,Visigoths,Aric of Dacia (father)Saana (mother),Joe HarrisCafu,"Divinity III: Aric, Son of the Revolution  #1 (January, 2017)",2017
"Aric, Son of the Revolution",Aric of Dacia,X-O Manowar,Valiant Entertainment,Bad,Male,Politburo of the Soviet Union,,Matt KindtTrevor Hairsine,"Divinity II  #2(May, 2016)",2016
Armstrong,Aram Anni-Padda,Aram-Ho-Tep[1]He Who Is Not To Be Named[2]Sir Bors[3],Valiant Entertainment,Good,Male,Archer & ArmstrongKnights of the Round Table,Anni (mother)Padda (name-giver)[4]Gilad Anni-Padda (brother)Ivar Anni-Padda (brother)Vexana Anni-Padda (sister),Jim Shooter (original)Bob Layton (original)Barry Windsor-Smith (original)Fred Van Lente (reboot)Clayton Henry (reboot),"Original: Archer & Armstrong  #0 (February, 1992)Reboot: Archer & Armstrong (Volume 2) #1 (August, 2012)",2012
Arthur Kendall,Arthur Kendall,Dr. Arthur Kendall,Valiant Entertainment,Neutral,Male,H.A.R.D. CorpsProject Rising Spirit,,Christos GageJoshua Dysart,"Bloodshot and H.A.R.D. Corps: H.A.R.D. Corps  #0(February, 2014)",2014
Artisan,Kai Lui,Artisan,Valiant Entertainment,Good,Male,CNSAG.A.T.E.Psi-Lords,,Fred Van LenteRenato GuedesJonathan Arthur Ashley,"Psi-Lords (Volume 2) #1(June, 2019)",2019
Astral,Jessica (Last name unknown),Lady Astral,Valiant Entertainment,Good,Female,Generation Zero,,Duane SwierczynskiJoshua Dysart,"Harbinger Wars  #1 (April, 2013)",2013
Atom-13,Atom-13,Simulacrum KillerSlayer of the Artificial,Valiant Entertainment,Neutral,Male,,"Tag, the Sky Goddess (wife)",Matt KindtTrevor Hairsine,"Eternity  #2(November, 2017)",2017
Atomus,Simon (Last name unknown),,Valiant Entertainment,Good,Male,Generation Zero,,Joshua DysartKhari Evans,"Harbinger Wars  #1 (April, 2013)",2013
Austin Oldenburg-Lancaster,Austin Oldenburg-Lancaster,,Valiant Entertainment,Bad,Male,The One Percent,,Ray FawkesAndy Kuhn,"Archer & Armstrong (Volume 2) #25 (October, 2014)",2014
